id,slug,name,category,tagline,tags,neighborhood,address,city,country,lat,lng,maps_url,website,phone,url,logo_url,hero_url,image_credit,image_source_url,hours_raw,description,about_short,about_long,price_range,pricing,amenities,cuisines,meals,rating_overall,sub_food_quality,sub_service,sub_ambience,sub_value,sub_accessibility,review_count,review_source,review_insight,last_updated,services,specialties,service_area,min_budget,lead_time,venue_affiliations,portfolio_url,languages,years_in_business,license_no,whatsapp
ChIJKRXFQgD_kT4RCQozSx8a66c,a2z-events,A2Z Events,Events,,events;event planner;wedding;corporate,,"HCV9+526, Muscat, Oman",Muscat,Oman,23.594209,58.418257,https://www.google.com/maps/place/?q=place_id:ChIJKRXFQgD_kT4RCQozSx8a66c,http://www.a2zeventoman.com/,+968 7900 7333,http://www.a2zeventoman.com/,https://www.google.com/s2/favicons?domain=www.a2zeventoman.com&sz=128,,,,,,,,,,,,,3.00,,,,,,2,Google,,2025-10-04,,,,,,,,,,,
ChIJ5f_cGS39jT4R5JTS083uJj0,as-gallery,AS Gallery,Events,,events;event planner;wedding;corporate,,"J6G9+RQ4, 2719 Way, Sib, Oman",Muscat,Oman,23.627094,58.219319,https://www.google.com/maps/place/?q=place_id:ChIJ5f_cGS39jT4R5JTS083uJj0,https://instagram.com/as.gallery.om?igshid=MWI4MTIyMDE=,+968 7921 7555,https://instagram.com/as.gallery.om?igshid=MWI4MTIyMDE=,https://www.google.com/s2/favicons?domain=instagram.com&sz=128,,,,,,,,,,,,,5.00,,,,,,2,Google,,2025-10-04,,,,,,,,,,,
ChIJlwaw0JLljT4RbDvTCsuBkhA,abu-sara-events-planner,Abu Sara Events Planner,Events,,events;event planner;wedding;corporate,,"Souq St, Sib, Oman",Muscat,Oman,23.680171,58.184927,https://www.google.com/maps/place/?q=place_id:ChIJlwaw0JLljT4RbDvTCsuBkhA,https://www.google.com/maps/place/?q=place_id:ChIJlwaw0JLljT4RbDvTCsuBkhA,+968 9611 6018,https://www.google.com/maps/place/?q=place_id:ChIJlwaw0JLljT4RbDvTCsuBkhA,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,,,,,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,
ChIJAyZx7dr_kT4RjVmRSqyl9t8,al-amri-tent-wedding-service,Al Amri tent wedding service,Events,,events;event planner;wedding;corporate,,"Seeb souk, Sib 121, Oman",Muscat,Oman,23.588031,58.382872,https://www.google.com/maps/place/?q=place_id:ChIJAyZx7dr_kT4RjVmRSqyl9t8,https://www.google.com/maps/place/?q=place_id:ChIJAyZx7dr_kT4RjVmRSqyl9t8,+968 9436 9133,https://www.google.com/maps/place/?q=place_id:ChIJAyZx7dr_kT4RjVmRSqyl9t8,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,,,,,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,
ChIJvxpvPMj_kT4RpIGrI-pUah0,al-khayalee-grand-wedding,Al Khayalee Grand Wedding الخيالي,Events,,events;event planner;wedding;corporate,,"Villa No. 800, Muscat 111, Oman",Muscat,Oman,23.607272,58.453050,https://www.google.com/maps/place/?q=place_id:ChIJvxpvPMj_kT4RpIGrI-pUah0,https://alkhayaleeintl.com/,,https://alkhayaleeintl.com/,https://www.google.com/s2/favicons?domain=alkhayaleeintl.com&sz=128,,,,,,,,,,,,,5.00,,,,,,2,Google,,2025-10-04,,,,,,,,,,,
ChIJTexXOFXnjT4RSfspr4WDCtU,al-khaylee-grand-wedding-warehouse,Al Khaylee Grand Wedding Warehouse,Events,,events;event planner;wedding;corporate,,"Near Naseem garden, الشخاخيط، Oman",Muscat,Oman,23.670584,58.040204,https://www.google.com/maps/place/?q=place_id:ChIJTexXOFXnjT4RSfspr4WDCtU,https://www.google.com/maps/place/?q=place_id:ChIJTexXOFXnjT4RSfspr4WDCtU,+968 9760 0044,https://www.google.com/maps/place/?q=place_id:ChIJTexXOFXnjT4RSfspr4WDCtU,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,,,,,,,,,,5.00,,,,,,1,Google,,2025-10-04,,,,,,,,,,,
ChIJLXgv15X7kT4Rk37x_yGSHnY,al-noor-occasions,Al Noor Occasions,Events,,events;event planner;wedding;corporate,,"Al Amarat, Oman",Muscat,Oman,23.521907,58.503513,https://www.google.com/maps/place/?q=place_id:ChIJLXgv15X7kT4Rk37x_yGSHnY,https://www.google.com/maps/place/?q=place_id:ChIJLXgv15X7kT4Rk37x_yGSHnY,+968 9971 3926,https://www.google.com/maps/place/?q=place_id:ChIJLXgv15X7kT4Rk37x_yGSHnY,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,,,,,,,,,,5.00,,,,,,1,Google,,2025-10-04,,,,,,,,,,,
ChIJHwSQ9-j_kT4RO3lXLZBAYoU,alasrar-wedding-planner,Alasrar Wedding Planner,Events,,events;event planner;wedding;corporate,,"Muscat, Oman",Muscat,Oman,23.594565,58.385155,https://www.google.com/maps/place/?q=place_id:ChIJHwSQ9-j_kT4RO3lXLZBAYoU,https://www.google.com/maps/place/?q=place_id:ChIJHwSQ9-j_kT4RO3lXLZBAYoU,+968 9921 5154,https://www.google.com/maps/place/?q=place_id:ChIJHwSQ9-j_kT4RO3lXLZBAYoU,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,,,,,,,,,,3.00,,,,,,2,Google,,2025-10-04,,,,,,,,,,,
ChIJk5EFRf__kT4RtDh-m1CnghY,ali-al-hayki-events-planing-officie,Ali Al-hayki events planing officie,Events,,events;event planner;wedding;corporate,,"J92G+8R2, 18th November St, alathiba, Oman",Muscat,Oman,23.600774,58.377018,https://www.google.com/maps/place/?q=place_id:ChIJk5EFRf__kT4RtDh-m1CnghY,https://www.google.com/maps/place/?q=place_id:ChIJk5EFRf__kT4RtDh-m1CnghY,+968 9927 7196,https://www.google.com/maps/place/?q=place_id:ChIJk5EFRf__kT4RtDh-m1CnghY,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,,,,,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,
ChIJK2fm11rljT4R9m9gaVvLp4Y,alrafi-events,Alrafi Events,Events,,events;event planner;wedding;corporate,,"Sib, شارع السوق، Muscat 121, Oman",Muscat,Oman,23.678769,58.186784,https://www.google.com/maps/place/?q=place_id:ChIJK2fm11rljT4R9m9gaVvLp4Y,https://www.instagram.com/alrafi.events/,+968 9722 1336,https://www.instagram.com/alrafi.events/,https://www.google.com/s2/favicons?domain=www.instagram.com&sz=128,,,,,,,,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,
